Year,budget,GDP,population
2001,-48190,569950,6273
2002,-196380,569950,6273
2003,-344570,569950,6273
2004,-492760,569950,6273
2005,-640950,569950,6273
2001,-50192,577650,6434
2002,-200384,577650,6434
2003,-350576,577650,6434
2001,-62247,624000,6546
2002,-224494,624000,6546
2003,-386741,624000,6546
2004,-548988,624000,6546
2001,-66078,638750,6294
2002,-232156,638750,6294
2003,-398234,638750,6294
2001,28994,273100,5709
2002,-42012,273100,5709
2001,36102,245750,6946
2001,51728,185650,7066
2001,45088,211200,6232
2001,39222,233750,6237
2001,49310,194950,6033
2001,44256,214400,5948
2001,38276,237400,7029
2001,39101,234200,7180
2001,21724,301050,6197
2001,33320,256450,6179
2001,33632,255250,7301
2001,43495,217300,5583
2001,41952,223250,6243
2001,52517,182600,6153
2001,42810,219950,6013
2001,36388,244650,6397
2001,41857,223600,6514
